productName,description,productCategory,price
청도 아삭한 오이,신선한 청도산 오이로 아삭한 식감이 일품입니다.,VEGETABLE,7800
고당도 해남 고구마,해남에서 자란 달달한 고구마로 깊은 풍미가 느껴집니다.,VEGETABLE,12000
밀양 특·상급 쪽파,엄선된 밀양의 쪽파로 향긋함이 가득합니다.,VEGETABLE,6500
제주 햇출하 무,신선한 제주산 무로 아삭한 식감이 매력적입니다.,VEGETABLE,4500
완도 산지 선별 배추,완도에서 직접 선별한 배추로 신선함이 가득합니다.,VEGETABLE,9000
고창 아삭한 청경채,신선한 청경채에 대한 상세 설명입니다.,VEGETABLE,15800
햇출하 쫀득한 수세미 호박,자연 그대로의 수세미 호박에 대한 상세 설명입니다.,VEGETABLE,21000
제주 특·상급 무,신선한 제주산 무에 대한 상세 설명입니다.,VEGETABLE,12500
밀양 고당도 방울토마토,달콤한 방울토마토에 대한 상세 설명입니다.,VEGETABLE,18000
완도 엄선한 파프리카,신선한 파프리카에 대한 상세 설명입니다.,VEGETABLE,22000
특·상급 완도 전복,신선한 바다의 맛을 담은 전복입니다.,ETC,35000
고창 아삭한 배추,아삭한 식감과 신선함을 자랑하는 배추입니다.,ETC,12000
밀양 엄선된 한우,부드럽고 진한 풍미의 한우입니다.,ETC,85000
햇출하 성주 참외,달달하고 아삭한 성주 참외입니다.,ETC,18000
청도 특·상급 포도,풍부한 당도를 자랑하는 청도 포도입니다.,ETC,22000
제주산 엄선한 고등어,신선한 제주산 고등어에 대한 상세 설명입니다.,ETC,19850
산지 선별 특·상급 한우,엄선된 한우의 품질에 대한 상세 설명입니다.,ETC,52800
신선한 동해안 오징어,동해에서 잡은 신선한 오징어에 대한 상세 설명입니다.,ETC,17400
달콤한 제주산 흑돼지,제주 흑돼지의 풍미에 대한 상세 설명입니다.,ETC,47500
고창산 아삭한 무,아삭한 식감의 고창산 무에 대한 상세 설명입니다.,ETC,8500
아삭한 해남 청경채,신선한 해남 청경채에 대한 상세 설명입니다.,VEGETABLE,15800
특·상급 성주 고구마,고소한 맛이 일품인 성주 고구마에 대한 상세 설명입니다.,VEGETABLE,12000
고당도 논산 배추,신선하고 달콤한 논산 배추에 대한 상세 설명입니다.,VEGETABLE,9500
엄선된 제주 애호박,부드러운 식감의 제주 애호박에 대한 상세 설명입니다.,VEGETABLE,8900
쫀득한 태안 무,아삭하고 쫀득한 태안 무에 대한 상세 설명입니다.,VEGETABLE,6500
엄선된 제주 천혜향,제주에서 자란 신선한 천혜향의 풍부한 과즙을 즐겨보세요.,FRUIT,26900
특급 아삭한 영주 사과,영주에서 자생한 과즙이 풍부한 사과로 상큼한 맛을 선사합니다.,FRUIT,32000
고당도 밀양 복숭아,밀양에서 자란 달콤하고 신선한 복숭아를 만나보세요.,FRUIT,29500
산지 선별 고창 수박,고창의 햇수박으로 여름의 시원함을 가득 담았습니다.,FRUIT,24800
신선한 해남 참외,해남에서 조심스럽게 재배된 달고 아삭한 참외를 경험해보세요.,FRUIT,21500
햇출하 아삭한 청상추,신선한 청상추에 대한 상세 설명입니다.,VEGETABLE,15800
제주산 특·상급 방울토마토,신선한 방울토마토에 대한 상세 설명입니다.,VEGETABLE,22000
고창산 고당도 생양파,달콤한 생양파에 대한 상세 설명입니다.,VEGETABLE,13450
신선한 산지 선별 무,산지에서 직송된 무에 대한 상세 설명입니다.,VEGETABLE,8500
밀양산 쫀득한 가지,신선한 가지에 대한 상세 설명입니다.,VEGETABLE,14200
아삭한 청도 오이,신선하고 아삭한 식감의 청도산 오이입니다.,VEGETABLE,12000
엄선된 영주 배추,"영주에서 자란 특·상급 배추로, 신선함이 뛰어납니다.",VEGETABLE,15000
달달한 제주 고구마,제주에서 자생한 달달한 맛의 고구마입니다.,VEGETABLE,18000
특선 완도 미역,완도에서 자연 그대로 자란 특선 미역입니다.,VEGETABLE,25000
햇출하 대파,"신선한 대파로, 다양한 요리에 활용하기 좋은 제품입니다.",VEGETABLE,9500
제주산 달달한 한라봉,과일류 한라봉에 대한 상세 설명입니다.,FRUIT,28900
고창 자생 모과,신선하고 향긋한 모과에 대한 상세 설명입니다.,FRUIT,17500
엄선된 샤인머스캣,프리미엄 품질의 샤인머스캣에 대한 상세 설명입니다.,FRUIT,45900
전라북도 특·상급 복숭아,아삭한 식감의 복숭아에 대한 상세 설명입니다.,FRUIT,32000
해남산 고당도 느타리버섯,신선하고 쫀득한 느타리버섯에 대한 상세 설명입니다.,FRUIT,22000
아삭한 청도 대파,신선한 청도에서 자란 아삭한 대파의 상세 설명입니다.,VEGETABLE,18200
특·상급 해남 고구마,해남에서 자란 특·상급 고구마의 상세 설명입니다.,VEGETABLE,14500
고당도 밀양 배추,"밀양의 햇배추로, 고당도의 풍미를 자랑합니다.",VEGETABLE,9800
엄선된 제주 감자,제주에서 엄선된 신선한 감자의 상세 설명입니다.,VEGETABLE,12000
쫀득한 성주 참외,성주에서 수확한 쫀득한 참외의 상세 설명입니다.,VEGETABLE,22000
해남 아삭한 청경채,신선하게 자란 청경채의 아삭한 식감과 담백한 맛을 자랑합니다.,VEGETABLE,9800
고창 엄선된 적채,"고창에서 자란 특·상급의 적채로, 풍부한 맛과 색감을 제공합니다.",VEGETABLE,6200
제주 고당도 가지,"제주산 고당도 가지로, 부드러운 식감과 달콤한 맛이 특징입니다.",VEGETABLE,7500
밀양 산지 선별 완두콩,"밀양에서 선별된 신선한 완두콩으로, 달콤한 맛이 일품입니다.",VEGETABLE,5400
태안 햇출하 쑥갓,"태안에서 햇출하된 신선한 쑥갓으로, 향긋한 맛을 느낄 수 있습니다.",VEGETABLE,4300
햇출하 아삭한 청경채,신선하고 아삭한 식감의 청경채에 대한 상세 설명입니다.,VEGETABLE,12000
특품 고창 무,달큰하고 아삭한 식감의 고창산 무에 대한 상세 설명입니다.,VEGETABLE,8000
제주산 유기농 시금치,신선하고 부드러운 제주산 유기농 시금치에 대한 상세 설명입니다.,VEGETABLE,15000
엄선된 성주 참외,달달하고 아삭한 성주산 참외에 대한 상세 설명입니다.,VEGETABLE,10000
산지 직송 신선한 쪽파,향긋하고 아삭한 식감의 신선한 쪽파에 대한 상세 설명입니다.,VEGETABLE,7000
산지 선별로 고른 쫀득한 새우,신선한 바다에서 잡은 쫄깃한 새우에 대한 상세 설명입니다.,ETC,27500
제주산 특·상급 오징어,부드럽고 풍미가 가득한 제주산 오징어에 대한 상세 설명입니다.,ETC,19900
고창 햇출하 쌈채소 믹스,신선한 고창산 쌈채소 믹스에 대한 상세 설명입니다.,ETC,15000
신선한 밀양 수산물 바지락,자연산 바지락의 풍미가 살아있는 제품에 대한 상세 설명입니다.,ETC,22000
아삭한 태안 해조류,바다의 맛을 그대로 담은 아삭한 해조류에 대한 상세 설명입니다.,ETC,13000
영주산 아삭한 청상추,신선한 영주에서 자란 아삭한 식감의 청상추입니다.,VEGETABLE,14500
햇출하 고당도 양파,햇출하로 만난 달달한 양파입니다.,VEGETABLE,18000
완도 해풍에 자란 특·상급 브로콜리,완도의 해풍을 맞고 자란 신선한 브로콜리입니다.,VEGETABLE,23000
특별히 선별된 태안 자생 시금치,특별히 선별된 태안 지역의 신선한 시금치입니다.,VEGETABLE,17000
쫀득한 식감의 보성 고구마,보성에서 자란 쫀득한 식감의 고구마입니다.,VEGETABLE,20000
특·상급 고추,매운맛이 잘 살아있는 고추에 대한 상세 설명입니다.,VEGETABLE,12000
달달한 무농약 당근,자연 그대로의 맛을 가진 당근에 대한 상세 설명입니다.,VEGETABLE,17500
산지 선별 엄선한 브로콜리,영양가 높은 신선한 브로콜리에 대한 상세 설명입니다.,VEGETABLE,19500
햇출하 아삭한 청도 오이,신선하고 아삭한 식감의 청도 오이입니다.,VEGETABLE,7800
산지 선별 제주 쑥갓,신선한 제주 쑥갓으로 향긋한 맛을 느껴보세요.,VEGETABLE,6200
고당도 밀양 토마토,진한 풍미와 달콤함이 매력적인 밀양 토마토입니다.,VEGETABLE,10500
엄선된 영주 양배추,아삭한 식감과 신선함이 돋보이는 영주 양배추입니다.,VEGETABLE,4700
제주 햇방풍,신선한 제철 방풍에 대한 상세 설명입니다.,ETC,18900
고창 특·상급 한우,엄선된 고품질 한우에 대한 상세 설명입니다.,ETC,59900
밀양 아삭한 무,신선하고 아삭한 맛의 밀양 무에 대한 상세 설명입니다.,ETC,12900
완도 신선한 굴,자연 그대로의 맛을 지닌 신선한 굴에 대한 상세 설명입니다.,ETC,24900
영주 고당도 사과,달달하고 신선한 영주 사과에 대한 상세 설명입니다.,ETC,15900
햇출하 아삭한 고구마,신선한 고구마에 대한 상세 설명입니다.,VEGETABLE,15800
완도 특·상급 미역,신선한 미역에 대한 상세 설명입니다.,VEGETABLE,24500
제주산 고당도 당근,아삭한 당근에 대한 상세 설명입니다.,VEGETABLE,12900
태안 엄선된 버섯,신선한 버섯에 대한 상세 설명입니다.,VEGETABLE,18900
고창산 쫀득한 감자,신선한 감자에 대한 상세 설명입니다.,VEGETABLE,17300
아삭한 청도 배추,신선한 청도 지역에서 자란 아삭한 배추입니다.,VEGETABLE,14500
특·상급 해남 무,"해남에서 자란 특·상급 무로, 풍부한 맛이 특징입니다.",VEGETABLE,9800
고당도 완도 미역,"완도에서 채취한 고당도 미역으로, 건강한 영양소가 가득합니다.",VEGETABLE,12000
햇출하 밀양 시금치,"햇출하된 밀양 시금치로, 신선한 맛과 영양을 담고 있습니다.",VEGETABLE,8900
쫀득한 성주 콩나물,"성주 지역에서 수확한 쫀득한 콩나물로, 요리에 적합합니다.",VEGETABLE,7500
제주 해산물 모듬,신선한 해산물로 구성된 제주산 모듬입니다.,ETC,52900
특·상급 고창 참외,아삭한 식감과 달달한 맛이 일품인 고창 참외입니다.,ETC,23900
완도 자연산 전복,신선한 바다의 맛을 그대로 담은 완도산 전복입니다.,ETC,89900
햇출하 청도 감귤,상큼하고 달콤한 청도산 감귤입니다.,ETC,19900
밀양 품질 좋은 돼지고기,부드럽고 풍미가 뛰어난 밀양산 돼지고기입니다.,ETC,32900
햇출하 고당도 천혜향,상큼하고 달콤한 풍미가 가득한 천혜향입니다.,FRUIT,18800
산지 선별 아삭한 사과,신선하고 아삭한 식감의 프리미엄 사과입니다.,FRUIT,15900
특·상급 레드향 오렌지,진한 풍미와 달콤함이 조화를 이룬 레드향 오렌지입니다.,FRUIT,21500
청도에서 온 쫀득한 복숭아,달콤하고 쫀득한 식감이 매력적인 청도 복숭아입니다.,FRUIT,23000
엄선된 제주 흑돼지,축산물 흑돼지에 대한 상세 설명입니다.,ETC,38900
신선한 완도 전복,수산물 전복에 대한 상세 설명입니다.,ETC,52000
고소한 영주 고추,농산물 고추에 대한 상세 설명입니다.,ETC,15800
특품 해남 무,농산물 무에 대한 상세 설명입니다.,ETC,12000
쫀득한 청도 복숭아,농산물 복숭아에 대한 상세 설명입니다.,ETC,24000
제주산 엄선 한라봉,신선한 제주 한라봉의 달콤한 풍미가 가득합니다.,ETC,19800
아삭한 영주 사과,영주에서 자란 아삭한 식감의 사과입니다.,ETC,15700
고창산 특·상급 쪽파,신선하고 향긋한 고창 쪽파로 요리를 더욱 풍성하게 만들어보세요.,ETC,12000
특별 선별 완도 멍게,신선한 완도 멍게로 깊은 바다의 맛을 느껴보세요.,ETC,24900
밀양에서 자란 쫀득한 고구마,밀양에서 자란 쫀득한 식감의 고구마로 간식으로 제격입니다.,ETC,16500
쫀득한 완도 전복,신선한 완도산 전복에 대한 상세 설명입니다.,ETC,27900
엄선된 청도 반건시,청도에서 자란 달달한 반건시 감귤에 대한 상세 설명입니다.,ETC,15200
특·상급 논산 배,논산에서 수확한 특·상급 배에 대한 상세 설명입니다.,ETC,18900
고당도 영주 사과,영주에서 자란 고당도 사과에 대한 상세 설명입니다.,ETC,12300
신선한 해남 고추,해남에서 재배된 신선한 고추에 대한 상세 설명입니다.,ETC,7800
고창 특·상급 사과,신선한 고창 사과에 대한 상세 설명입니다.,FRUIT,6800
아삭한 밀양 복숭아,과일류 밀양 복숭아에 대한 상세 설명입니다.,FRUIT,7800
달달한 제주 감귤,과일류 제주 감귤에 대한 상세 설명입니다.,FRUIT,5200
프리미엄 샤인머스캣,과일류 샤인머스캣에 대한 상세 설명입니다.,FRUIT,10500
영주 산지 선별 블루베리,신선한 영주 블루베리에 대한 상세 설명입니다.,FRUIT,9000
고당도 샤인머스캣 산지 선별,달콤하고 쫀득한 식감의 샤인머스캣입니다.,FRUIT,24900
제주산 특·상급 감귤,상큼한 맛이 일품인 제주산 감귤입니다.,FRUIT,19800
밀양 아삭한 복숭아,신선함이 가득한 아삭한 식감의 밀양 복숭아입니다.,FRUIT,24500
해남 고구마 엄선,달달하고 부드러운 식감의 해남 고구마입니다.,FRUIT,18500
청도 참외 햇출하,상큼하고 달콤한 청도 참외로 여름의 맛을 느껴보세요.,FRUIT,22000
전남 고창의 달달한 샤인머스캣,신선한 샤인머스캣의 풍미와 달콤함을 그대로 담았습니다.,FRUIT,15900
제주 특·상급 한라봉,햇살을 머금은 한라봉으로 상큼한 맛을 즐겨보세요.,FRUIT,13000
엄선된 논산의 아삭한 사과,신선하게 선별된 사과로 아삭한 식감을 느껴보세요.,FRUIT,9800
달콤한 강원도 캠벨얼리 포도,강원도에서 자란 캠벨얼리 포도로 달콤한 시간을 가져보세요.,FRUIT,14500
신선한 태안의 고당도 감귤,햇살 아래 자란 감귤로 진한 풍미를 느껴보세요.,FRUIT,11500
특·상급 아삭한 완두콩,신선한 완두콩에 대한 상세 설명입니다.,VEGETABLE,19800
고당도 하우스 방울토마토,달콤한 방울토마토에 대한 상세 설명입니다.,VEGETABLE,25000
햇출하 청도 시금치,신선한 청도 시금치에 대한 상세 설명입니다.,VEGETABLE,21500
엄선된 고창 쪽파,향긋한 쪽파에 대한 상세 설명입니다.,VEGETABLE,14500
쫀득한 논산 미니당근,아삭하고 쫀득한 미니당근에 대한 상세 설명입니다.,VEGETABLE,17000
제주산 고당도 한라봉,"신선한 제주산 한라봉으로, 껍질이 얇고 달콤한 맛이 일품입니다.",FRUIT,18900
산지 선별 특·상급 샤인머스캣,"엄선된 샤인머스캣으로, 아삭한 식감과 진한 풍미를 자랑합니다.",FRUIT,23700
전남 영광 자연 재배 감귤,"영광 지역에서 자연 재배된 감귤로, 달콤하고 상큼한 맛이 돋보입니다.",FRUIT,14900
충북 청주 수확한 캠벨얼리,"청주 지역에서 수확한 캠벨얼리로, 진한 풍미와 상큼함이 조화를 이루는 과일입니다.",FRUIT,15900
청도 아삭한 유기농 배추,신선한 유기농 배추의 풍부한 맛과 아삭한 식감을 느껴보세요.,VEGETABLE,35000
햇출하 고소한 영주 고구마,"부드럽고 고소한 영주 고구마, 제철의 풍미를 담았습니다.",VEGETABLE,28000
완도 특·상급 미나리,상큼한 향과 아삭한 식감을 자랑하는 완도 미나리를 만나보세요.,VEGETABLE,42000
해남 고당도 유기농 당근,"달달한 맛이 일품인 해남 당근, 엄선된 품질로 제공됩니다.",VEGETABLE,31000
밀양 신선한 쑥갓,신선한 밀양 쑥갓으로 건강한 한 끼를 완성하세요.,VEGETABLE,25000
고창산 아삭한 얼갈이배추,신선한 고창산 얼갈이배추에 대한 상세 설명입니다.,VEGETABLE,24500
특·상급 밀양 시금치,프리미엄 밀양 시금치에 대한 상세 설명입니다.,VEGETABLE,21000
제주 햇출하 청경채,제주에서 자란 신선한 청경채에 대한 상세 설명입니다.,VEGETABLE,19800
쫀득한 성주 대파,성주에서 자란 쫀득한 대파에 대한 상세 설명입니다.,VEGETABLE,18000
엄선된 해남 무,해남에서 자란 엄선된 신선한 무에 대한 상세 설명입니다.,VEGETABLE,22000
고창산 아삭한 청경채,신선한 청경채로 아삭한 식감을 자랑합니다.,VEGETABLE,19800
햇출하 영주 시금치,영주에서 자란 신선한 시금치로 건강한 식사를 제공합니다.,VEGETABLE,21500
엄선된 국내산 브로콜리,특·상급 브로콜리로 비타민이 풍부합니다.,VEGETABLE,24900
제주산 쫀득한 오이,제주에서 자란 신선한 오이로 맛이 뛰어납니다.,VEGETABLE,17500
밀양 고구마 특·상급,달달한 맛이 일품인 고구마로 영양 만점입니다.,VEGETABLE,22000
해남 특·상급 무,달큰하고 아삭한 해남산 무로 엄선된 제품입니다.,VEGETABLE,4500
영주 고당도 당근,"달콤하고 아삭한 영주산 당근으로, 건강한 간식으로 좋습니다.",VEGETABLE,5200
밀양 산지 선별 쪽파,신선하고 향긋한 밀양산 쪽파로 엄선된 제품입니다.,VEGETABLE,3900
전라남도 해남 쫀득한 고구마,고구마의 풍미와 식감이 일품인 전라남도 해남산입니다.,ETC,25900
제주도 자연산 전복,신선한 제주도 바다에서 잡은 자연산 전복입니다.,ETC,48700
청도 지역 엄선된 고당도 사과,"청도에서 자란 달콤한 고당도 사과로, 엄선된 품질입니다.",ETC,36500
밀양산 특·상급 한우,"밀양에서 자란 특·상급 한우로, 풍부한 맛이 돋보입니다.",ETC,120000
완도 청정 바다에서 잡은 생굴,완도 청정 바다에서 잡은 신선한 생굴입니다.,ETC,32000
특급 해남 고구마,달달하고 부드러운 식감의 해남 고구마입니다.,VEGETABLE,13500
엄선된 밀양 상추,"신선하고 아삭한 밀양 상추, 샐러드에 제격입니다.",VEGETABLE,9800
쫀득한 완도 미역,자연에서 자란 쫀득한 식감의 완도 미역입니다.,VEGETABLE,6500
고당도 성주 참외,"달콤하고 신선한 성주 참외, 여름에 즐기기 좋은 과일입니다.",VEGETABLE,14500
햇출하 고당도 홍삼뿌리,신선한 홍삼뿌리에 대한 상세 설명입니다.,ETC,38740
특·상급 한우 꽃등심,프리미엄 한우 꽃등심에 대한 상세 설명입니다.,ETC,82750
아삭한 국내 유기농 당근,유기농 당근에 대한 상세 설명입니다.,ETC,15200
고창산 신선한 굴비,신선한 굴비에 대한 상세 설명입니다.,ETC,29900
청도 아삭한 무,신선하고 아삭한 식감이 일품인 청도 지역산 무입니다.,VEGETABLE,8500
완도 특·상급 시금치,완도 지역에서 자란 특·상급 시금치로 영양이 풍부합니다.,VEGETABLE,9800
햇출하 신선한 고구마,햇출하로 신선하고 쫀득한 식감의 고구마입니다.,VEGETABLE,12000
밀양 고당도 양파,"밀양 지역에서 재배된 고당도 양파로, 요리에 탁월합니다.",VEGETABLE,7200
산지 선별 청경채,신선하고 아삭한 산지 선별 청경채로 샐러드에 적합합니다.,VEGETABLE,6500
고창산 특·상급 한우,육질이 뛰어난 한우에 대한 상세 설명입니다.,ETC,35000
영주산 쫀득한 생선회,신선한 수산물 생선회에 대한 상세 설명입니다.,ETC,22000
완도산 신선한 전복,바다의 신선함을 담은 전복에 대한 상세 설명입니다.,ETC,42000
횡성산 자연 양념 닭,자연에서 자란 닭에 대한 상세 설명입니다.,ETC,19800
해남 아삭한 생양파,"신선한 해남에서 자란 아삭한 생양파로, 샐러드나 요리에 최적입니다.",VEGETABLE,8500
영주 특·상급 청경채,영주의 좋은 크기 위주로 선별된 특·상급 청경채입니다.,VEGETABLE,9900
완도 고당도 파프리카,"완도에서 재배된 고당도 파프리카로, 달콤한 맛이 특징입니다.",VEGETABLE,12900
밀양 산지 선별 쌈채소,"신선한 밀양의 쌈채소로, 다양한 요리에 활용하기 좋습니다.",VEGETABLE,7800
태안 햇출하 브로콜리,"태안에서 햇출하된 신선한 브로콜리로, 건강한 식단에 필수입니다.",VEGETABLE,11500
햇출하 영주 생표고버섯,신선하고 향긋한 영주산 생표고버섯의 상세 설명입니다.,ETC,15800
엄선된 제주 갈치,신선한 제주산 갈치의 풍미를 강조한 상세 설명입니다.,ETC,25000
밀양산 쫀득한 고구마,자연의 맛을 그대로 담은 밀양산 고구마의 상세 설명입니다.,ETC,12000
신선한 태안 생굴,태안에서 갓 잡아온 생굴의 신선함을 강조한 상세 설명입니다.,ETC,18000
제주산 엄선한 고당도 감귤,신선하고 달콤한 제주산 감귤입니다.,ETC,15000
밀양에서 자란 특·상급 한우,결정체가 적고 부드러운 식감의 밀양 한우입니다.,ETC,250000
완도 해산물 산지 직송 전복,"신선한 완도 해산물로, 쫄깃한 식감이 매력적인 전복입니다.",ETC,30000
해남산 아삭한 무,신선하고 아삭한 식감이 일품인 해남 무입니다.,ETC,8000
고창산 자연재배 유기농 계란,"자연에서 기른 유기농 계란으로, 신선한 맛이 특징입니다.",ETC,12000
햇출하 한라봉 산지 선별,신선한 한라봉에 대한 상세 설명입니다.,ETC,28900
아삭한 고추 품질 선별,신선한 고추에 대한 상세 설명입니다.,ETC,15700
프리미엄 흑염소 고기,자연에서 자란 흑염소에 대한 상세 설명입니다.,ETC,45900
특·상급 전복,자연산 전복에 대한 상세 설명입니다.,ETC,64900
고창 지역 엄선한 무,신선한 무에 대한 상세 설명입니다.,ETC,17800
제주 해물 모듬,신선한 제주 바다에서 잡은 다양한 해산물입니다.,ETC,45200
엄선된 한우 채끝살,특·상급으로 선별된 품질 좋은 한우 채끝살입니다.,ETC,98000
영주 지역 자생 버섯,신선한 영주 자생 버섯으로 풍미가 가득한 제품입니다.,ETC,22000
고창 지역 산지 선별 생굴,고창에서 직송된 신선한 생굴로 해산물의 깊은 맛을 즐기세요.,ETC,37000
